"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName","Mean_abund_host","Mean_count_host.x","Abundance_rank.x","Mean_count_host.y","Abundance_rank.y"
"Patinella_verrucaria","61ed6ce1622d7abc236fcb34e383b9df","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,2.141,0.0001665,0.002142,"Enriched in Sample","Class: Alphaproteobacteria",0.0655117959314556,39.6666666666667,127,39.6666666666667,127
"Patinella_verrucaria","61ed6ce1622d7abc236fcb34e383b9df","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,2.141,0.0001665,0.002142,"Enriched in Sample","Class: Alphaproteobacteria",0.0655117959314556,39.6666666666667,127,39.6666666666667,127
"Patinella_verrucaria","c0cbc7be02ab7ab71ae694861accc33d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",2.055,0.001361,0.01352,"Enriched in Sample","Genus: Sulfitobacter",0.234485434198641,120,62,120,62
"Patinella_verrucaria","c0cbc7be02ab7ab71ae694861accc33d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",2.055,0.001361,0.01352,"Enriched in Sample","Genus: Sulfitobacter",0.234485434198641,120,62,120,62
"Patinella_verrucaria","c0cbc7be02ab7ab71ae694861accc33d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",2.055,0.001361,0.01352,"Enriched in Sample","Genus: Sulfitobacter",0.234485434198641,120,62,120,62
"Patinella_verrucaria","c0cbc7be02ab7ab71ae694861accc33d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",2.055,0.001361,0.01352,"Enriched in Sample","Genus: Sulfitobacter",0.234485434198641,120,62,120,62
"Patinella_verrucaria","8bc8a577f444654080e1cbbcbf3624df","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,1.998,0.001339,0.01352,"Enriched in Sample","Family: Cellvibrionaceae",0.107688807773306,52.3333333333333,103,52.3333333333333,103
"Patinella_verrucaria","8bc8a577f444654080e1cbbcbf3624df","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,1.998,0.001339,0.01352,"Enriched in Sample","Family: Cellvibrionaceae",0.107688807773306,52.3333333333333,103,52.3333333333333,103
"Patinella_verrucaria","dd4288754e567d2598eb7d479a0c1051","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesia",1.953,2.361e-05,0.0003687,"Enriched in Sample","Genus: Gimesia",0.163639368862755,98.3333333333333,73,98.3333333333333,73
"Patinella_verrucaria","dd4288754e567d2598eb7d479a0c1051","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesia",1.953,2.361e-05,0.0003687,"Enriched in Sample","Genus: Gimesia",0.163639368862755,98.3333333333333,73,98.3333333333333,73
"Patinella_verrucaria","dd4288754e567d2598eb7d479a0c1051","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesia",1.953,2.361e-05,0.0003687,"Enriched in Sample","Genus: Gimesia",0.163639368862755,98.3333333333333,73,98.3333333333333,73
"Patinella_verrucaria","dd4288754e567d2598eb7d479a0c1051","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesia",1.953,2.361e-05,0.0003687,"Enriched in Sample","Genus: Gimesia",0.163639368862755,98.3333333333333,73,98.3333333333333,73
"Patinella_verrucaria","2b72428ebbcbfc529a8aecf2ea37157c","Bacteria","Actinobacteriota","Actinobacteria","PeM15","PeM15","PeM15",1.897,1.687e-05,0.0002991,"Enriched in Sample","Genus: PeM15",0.0169256831993213,9.33333333333333,283,9.33333333333333,283
"Patinella_verrucaria","2b72428ebbcbfc529a8aecf2ea37157c","Bacteria","Actinobacteriota","Actinobacteria","PeM15","PeM15","PeM15",1.897,1.687e-05,0.0002991,"Enriched in Sample","Genus: PeM15",0.0169256831993213,9.33333333333333,283,9.33333333333333,283
"Patinella_verrucaria","c3ff5c573fb0e919a4b6e39d5db06dd8","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,1.757,4.377e-06,0.0001025,"Enriched in Sample","Order: SAR11_clade",0.0437910966842837,24,168,24,168
"Patinella_verrucaria","c3ff5c573fb0e919a4b6e39d5db06dd8","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,1.757,4.377e-06,0.0001025,"Enriched in Sample","Order: SAR11_clade",0.0437910966842837,24,168,24,168
"Patinella_verrucaria","c3ff5c573fb0e919a4b6e39d5db06dd8","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,1.757,4.377e-06,0.0001025,"Enriched in Sample","Order: SAR11_clade",0.0437910966842837,24,168,24,168
"Patinella_verrucaria","c3ff5c573fb0e919a4b6e39d5db06dd8","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,1.757,4.377e-06,0.0001025,"Enriched in Sample","Order: SAR11_clade",0.0437910966842837,24,168,24,168
"Patinella_verrucaria","382df3e0baaef58683f1815a6dd0082f","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,1.741,0.0002012,0.00249,"Enriched in Sample","Family: Isosphaeraceae",0.0369216783715512,23.6666666666667,173,23.6666666666667,173
"Patinella_verrucaria","382df3e0baaef58683f1815a6dd0082f","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,1.741,0.0002012,0.00249,"Enriched in Sample","Family: Isosphaeraceae",0.0369216783715512,23.6666666666667,173,23.6666666666667,173
"Patinella_verrucaria","ac4ac274d280050de041eaa56cbe3c92","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",1.74,4.258e-06,0.0001025,"Enriched in Sample","Genus: Blastopirellula",0.0670575282441839,38,135,38,135
"Patinella_verrucaria","ac4ac274d280050de041eaa56cbe3c92","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",1.74,4.258e-06,0.0001025,"Enriched in Sample","Genus: Blastopirellula",0.0670575282441839,38,135,38,135
"Patinella_verrucaria","ac4ac274d280050de041eaa56cbe3c92","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",1.74,4.258e-06,0.0001025,"Enriched in Sample","Genus: Blastopirellula",0.0670575282441839,38,135,38,135
"Patinella_verrucaria","ac4ac274d280050de041eaa56cbe3c92","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",1.74,4.258e-06,0.0001025,"Enriched in Sample","Genus: Blastopirellula",0.0670575282441839,38,135,38,135
"Patinella_verrucaria","51072144763d6f2480df1cad15babda4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter",1.739,3.773e-06,9.899e-05,"Enriched in Sample","Genus: Octadecabacter",0.111568828076236,61.3333333333333,92,61.3333333333333,92
"Patinella_verrucaria","51072144763d6f2480df1cad15babda4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter",1.739,3.773e-06,9.899e-05,"Enriched in Sample","Genus: Octadecabacter",0.111568828076236,61.3333333333333,92,61.3333333333333,92
"Patinella_verrucaria","cff90739aec43855cf9b4c0c5a7fb2b1","Eukaryota",NA,NA,NA,NA,NA,1.7,3.934e-05,0.0005865,"Enriched in Sample","Kingdom: Eukaryota",0.0118783874250055,7.33333333333333,309,7.33333333333333,309
"Patinella_verrucaria","cff90739aec43855cf9b4c0c5a7fb2b1","Eukaryota",NA,NA,NA,NA,NA,1.7,3.934e-05,0.0005865,"Enriched in Sample","Kingdom: Eukaryota",0.0118783874250055,7.33333333333333,309,7.33333333333333,309
"Patinella_verrucaria","cff90739aec43855cf9b4c0c5a7fb2b1","Eukaryota",NA,NA,NA,NA,NA,1.7,3.934e-05,0.0005865,"Enriched in Sample","Kingdom: Eukaryota",0.0118783874250055,7.33333333333333,309,7.33333333333333,309
"Patinella_verrucaria","cff90739aec43855cf9b4c0c5a7fb2b1","Eukaryota",NA,NA,NA,NA,NA,1.7,3.934e-05,0.0005865,"Enriched in Sample","Kingdom: Eukaryota",0.0118783874250055,7.33333333333333,309,7.33333333333333,309
"Patinella_verrucaria","5234d703355574c2c5651a4064ff536f","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,1.695,0.0004734,0.005546,"Enriched in Sample","Family: Rhodobacteraceae",0.180531207688035,116.333333333333,65,116.333333333333,65
"Patinella_verrucaria","5234d703355574c2c5651a4064ff536f","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,1.695,0.0004734,0.005546,"Enriched in Sample","Family: Rhodobacteraceae",0.180531207688035,116.333333333333,65,116.333333333333,65
"Patinella_verrucaria","9910b78ecfcab8367a1b3ae162fb4cee","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,1.619,1.965e-06,5.605e-05,"Enriched in Sample","Family: Isosphaeraceae",0.0261083668128889,16,218,16,218
"Patinella_verrucaria","9910b78ecfcab8367a1b3ae162fb4cee","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,1.619,1.965e-06,5.605e-05,"Enriched in Sample","Family: Isosphaeraceae",0.0261083668128889,16,218,16,218
"Patinella_verrucaria","1263b941de1a0c2fb61d10f6b7e273da","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,1.619,0.007937,0.04345,"Enriched in Sample","Family: Flavobacteriaceae",0.0202198066720592,11.3333333333333,257,11.3333333333333,257
"Patinella_verrucaria","1263b941de1a0c2fb61d10f6b7e273da","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,1.619,0.007937,0.04345,"Enriched in Sample","Family: Flavobacteriaceae",0.0202198066720592,11.3333333333333,257,11.3333333333333,257
